Date,Actual_Oilprice,ARIMA baseline,SARIMAX + oil + us-index,ANN + oil,ANN + oil + us-index
2005-01-07,44.071999999999996,,,,
2005-01-14,46.79,,,,
2005-01-21,47.964999999999996,,,,
2005-01-28,48.558,,,,
2005-02-04,46.97,,,,
2005-02-11,46.08,,,,
2005-02-18,47.82,,,,
2005-02-25,51.340999999999994,,,,
2005-03-04,52.74400000000001,,,,
2005-03-11,54.224000000000004,,,,
2005-03-18,55.92999999999999,,,,
2005-03-25,52.945,,,,
2005-04-01,54.970000000000006,,,,
2005-04-08,55.238,,,,
2005-04-15,51.436,,,,
2005-04-22,52.39,,,,
2005-04-29,51.996,,,,
2005-05-06,50.636,,,,
2005-05-13,50.333999999999996,,,,
2005-05-20,47.769999999999996,,,,
2005-05-27,50.146,,,,
2005-06-03,53.376999999999995,,,,
2005-06-10,53.74400000000001,,,,
2005-06-17,56.181999999999995,,,,
2005-06-24,59.044000000000004,,,,
2005-07-01,58.214,,,,
2005-07-08,60.166,,,,
2005-07-15,59.181999999999995,,,,
2005-07-22,57.303999999999995,,,,
2005-07-29,59.39,,,,
2005-08-05,61.636,,,,
2005-08-12,64.846,,,,
2005-08-19,64.918,,,,
2005-08-26,66.342,,,,
2005-09-02,68.47200000000001,,,,
2005-09-09,65.118,,,,
2005-09-16,63.84400000000001,,,,
2005-09-23,66.42999999999999,,,,
2005-09-30,66.064,,,,
2005-10-07,63.056000000000004,,,,
2005-10-14,62.86800000000001,,,,
2005-10-21,62.279999999999994,,,,
2005-10-28,61.327999999999996,,,,
2005-11-04,60.339999999999996,,,,
2005-11-11,58.8,,,,
2005-11-18,57.0,,,,
2005-11-25,58.022000000000006,,,,
2005-12-02,57.784000000000006,,,,
2005-12-09,59.83,,,,
2005-12-16,60.32000000000001,,,,
2005-12-23,57.968,,,,
2005-12-30,59.48199999999999,,,,
2006-01-06,63.385,,,,
2006-01-13,63.739999999999995,,,,
2006-01-20,66.45,,,,
2006-01-27,66.82000000000001,,,,
2006-02-03,66.59,,,,
2006-02-10,63.06,,,,
2006-02-17,59.370000000000005,,,,
2006-02-24,60.043000000000006,,,,
2006-03-03,62.272000000000006,,,,
2006-03-10,60.89,,,,
2006-03-17,62.64,,,,
2006-03-24,61.355999999999995,,,,
2006-03-31,65.67,,,,
2006-04-07,66.564,,,,
2006-04-14,68.845,,,,
2006-04-21,71.868,,,,
2006-04-28,70.378,,,,
